player,venue,venue_runs_avg,venue_strike_rate_avg
AB de Villiers,"Zayed Cricket Stadium, Abu Dhabi",9.5,73.07692307692307
AC Gilchrist,Barabati Stadium,28.5,223.21428571428572
AC Gilchrist,Brabourne Stadium,19.0,135.71428571428572
AC Gilchrist,Buffalo Park,0.0,0.0
AC Gilchrist,De Beers Diamond Oval,15.0,112.12121212121211
AC Gilchrist,Dr DY Patil Sports Academy,30.5,99.08899020601149
AC Gilchrist,Eden Gardens,18.0,108.27513227513228
AC Gilchrist,Feroz Shah Kotla,18.0,149.47916666666669
AC Gilchrist,Himachal Pradesh Cricket Association Stadium,36.875,133.11691319843493
AC Gilchrist,Holkar Cricket Stadium,9.0,60.0
AC Gilchrist,Kingsmead,47.666666666666664,200.17278043593834
AC Gilchrist,M Chinnaswamy Stadium,31.75,104.1843877370193
AC Gilchrist,"MA Chidambaram Stadium, Chepauk",46.0,191.1764705882353
AC Gilchrist,New Wanderers Stadium,22.0,105.21091811414392
AC Gilchrist,Newlands,42.0,137.97979797979798
AC Gilchrist,"Punjab Cricket Association Stadium, Mohali",23.083333333333332,118.15351519395637
AC Gilchrist,"Rajiv Gandhi International Stadium, Uppal",22.444444444444443,108.79920265534076
AC Gilchrist,"Sardar Patel Stadium, Motera",1.0,33.33333333333333
AC Gilchrist,Sawai Mansingh Stadium,29.333333333333332,95.30228758169933
AC Gilchrist,St George's Park,39.0,111.42857142857144
AC Gilchrist,Subrata Roy Sahara Stadium,10.5,102.27272727272727
AC Gilchrist,SuperSport Park,33.25,146.77899686520377
AC Gilchrist,"Vidarbha Cricket Association Stadium, Jamtha",13.666666666666666,95.83333333333333
AC Gilchrist,Wankhede Stadium,0.0,0.0
AD Mathews,Brabourne Stadium,9.5,97.05882352941177
AD Mathews,Dr DY Patil Sports Academy,65.0,144.44444444444443
AD Mathews,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,15.0,136.36363636363637
AD Mathews,Eden Gardens,21.666666666666668,123.54688521355187
AD Mathews,Feroz Shah Kotla,14.714285714285714,142.43197278911563
AD Mathews,M Chinnaswamy Stadium,4.0,75.3968253968254
AD Mathews,"MA Chidambaram Stadium, Chepauk",37.5,111.36363636363636
AD Mathews,Maharashtra Cricket Association Stadium,13.0,141.66666666666669
AD Mathews,"Punjab Cricket Association Stadium, Mohali",15.0,147.4747474747475
AD Mathews,"Rajiv Gandhi International Stadium, Uppal",19.5,134.05797101449275
AD Mathews,Sawai Mansingh Stadium,20.5,120.52631578947367
AD Mathews,Subrata Roy Sahara Stadium,15.25,97.4135623148781
AD Mathews,SuperSport Park,16.0,123.07692307692308
AD Mathews,Wankhede Stadium,15.5,112.77777777777777
AD Russell,Arun Jaitley Stadium,55.0,183.33333333333334
AD Russell,"Arun Jaitley Stadium, Delhi",18.333333333333332,103.82317801672639
AD Russell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",12.0,150.0
AD Russell,Brabourne Stadium,37.0,185.0
AD Russell,"Brabourne Stadium, Mumbai",24.333333333333332,103.42857142857143
AD Russell,"Dr DY Patil Sports Academy, Mumbai",21.75,141.08585858585857
AD Russell,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,19.0,190.0
AD Russell,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",41.0,215.7894736842105
AD Russell,Dubai International Cricket Stadium,24.5,199.35064935064935
AD Russell,Eden Gardens,29.125,179.84839654561983
AD Russell,"Eden Gardens, Kolkata",21.38888888888889,142.4841552351087
AD Russell,Feroz Shah Kotla,18.333333333333332,155.00000000000003
AD Russell,Holkar Cricket Stadium,31.0,221.42857142857144
AD Russell,JSCA International Stadium Complex,1.0,20.0
AD Russell,M Chinnaswamy Stadium,42.0,213.6029411764706
AD Russell,"M Chinnaswamy Stadium, Bengaluru",1.0,50.0
AD Russell,M.Chinnaswamy Stadium,24.0,200.0
AD Russell,MA Chidambaram Stadium,69.0,179.04040404040407
AD Russell,"MA Chidambaram Stadium, Chepauk",10.0,122.72727272727273
AD Russell,"MA Chidambaram Stadium, Chepauk, Chennai",11.4,106.07936507936509
AD Russell,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17.0,154.54545454545453
AD Russell,Maharashtra Cricket Association Stadium,41.5,168.9393939393939
AD Russell,"Maharashtra Cricket Association Stadium, Pune",35.0,210.61403508771932
AD Russell,"Narendra Modi Stadium, Ahmedabad",18.666666666666668,109.25925925925928
AD Russell,Punjab Cricket Association IS Bindra Stadium,24.0,171.42857142857142
AD Russell,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",35.0,194.44444444444443
AD Russell,Rajiv Gandhi International Stadium,9.5,133.33333333333334
AD Russell,"Rajiv Gandhi International Stadium, Uppal",2.0,40.0
AD Russell,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",24.0,160.0
AD Russell,"Sardar Patel Stadium, Motera",1.0,33.33333333333333
AD Russell,Sharjah Cricket Stadium,14.5,172.85714285714283
AD Russell,Sheikh Zayed Stadium,7.8,108.0
AD Russell,Wankhede Stadium,8.25,69.375
AD Russell,"Wankhede Stadium, Mumbai",23.714285714285715,176.4122576930459
AD Russell,"Zayed Cricket Stadium, Abu Dhabi",20.0,133.33333333333331
