career_avg,recent_3_avg,recent_5_avg,recent_10_avg,strike_rate,boundary_ratio,consistency_score,momentum,venue_adjusted_runs,pvt_avg,experience_log,target_next_runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3.0
158.0,158.0,158.0,158.0,205.19480519480518,0.2948717948717949,0.0,0.0,7.3440105087657255,37.93333333333333,0.6931471805599453,5.0
6.0,6.0,6.0,6.0,60.0,0.0,0.0,0.0,0.27888647501641994,15.833333333333334,0.6931471805599453,31.0
12.0,12.0,12.0,12.0,100.0,0.07692307692307693,0.0,0.0,0.5577729500328399,25.625,0.6931471805599453,38.0
8.0,8.0,8.0,8.0,114.28571428571428,0.125,0.0,0.0,0.3718486333552266,27.2,0.6931471805599453,25.0
7.0,7.0,7.0,7.0,63.63636363636363,0.08333333333333333,0.0,0.0,0.3253675541858233,23.75,0.6931471805599453,39.0
5.0,5.0,5.0,5.0,166.66666666666669,0.25,0.0,0.0,0.23240539584701664,5.0,0.6931471805599453,13.0
18.0,18.0,18.0,18.0,105.88235294117648,0.16666666666666666,0.0,0.0,0.8366594250492598,5.714285714285714,0.6931471805599453,34.0
2.0,2.0,2.0,2.0,66.66666666666666,0.0,0.0,0.0,0.09296215833880665,20.4,0.6931471805599453,32.0
20.0,20.0,20.0,20.0,100.0,0.09523809523809523,0.0,0.0,0.9296215833880666,24.0,0.6931471805599453,0.0
10.0,10.0,10.0,10.0,83.33333333333334,0.15384615384615385,0.0,0.0,0.4648107916940333,13.857142857142858,0.6931471805599453,14.0
1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.046481079169403326,31.90625,0.6931471805599453,23.0
6.0,6.0,6.0,6.0,33.33333333333333,0.0,0.0,0.0,0.27888647501641994,6.0,0.6931471805599453,50.0
3.0,3.0,3.0,3.0,37.5,0.0,0.0,0.0,0.13944323750820997,5.0,0.6931471805599453,17.0
3.0,3.0,3.0,3.0,60.0,0.0,0.0,0.0,0.14206896551724138,20.6,0.6931471805599453,12.0
13.0,13.0,13.0,13.0,118.18181818181819,0.08333333333333333,0.0,0.0,0.615632183908046,15.0,0.6931471805599453,5.0
71.0,71.0,71.0,71.0,208.82352941176472,0.37142857142857144,0.0,0.0,3.3622988505747124,23.75,0.6931471805599453,16.0
24.0,24.0,24.0,24.0,120.0,0.14285714285714285,0.0,0.0,1.136551724137931,13.0,0.6931471805599453,26.0
54.0,54.0,54.0,54.0,154.2857142857143,0.19444444444444445,0.0,0.0,2.557241379310345,18.285714285714285,0.6931471805599453,20.0
116.0,116.0,116.0,116.0,214.81481481481484,0.3090909090909091,0.0,0.0,5.493333333333333,41.833333333333336,0.6931471805599453,5.0
25.0,25.0,25.0,25.0,147.05882352941177,0.2777777777777778,0.0,0.0,1.1839080459770115,38.0,0.6931471805599453,81.0
2.0,2.0,2.0,2.0,66.66666666666666,0.0,0.0,0.0,0.09471264367816092,24.379310344827587,0.6931471805599453,30.0
15.0,15.0,15.0,15.0,136.36363636363635,0.25,0.0,0.0,0.7103448275862069,34.294117647058826,0.6931471805599453,14.0
31.0,31.0,31.0,31.0,221.42857142857144,0.3333333333333333,0.0,0.0,1.4680459770114942,30.625,0.6931471805599453,2.0
32.0,32.0,32.0,32.0,228.57142857142856,0.3333333333333333,0.0,0.0,1.5154022988505746,34.583333333333336,0.6931471805599453,53.0
21.0,21.0,21.0,21.0,123.52941176470588,0.05555555555555555,0.0,0.0,0.9944827586206896,35.5,0.6931471805599453,75.0
23.0,23.0,23.0,23.0,176.9230769230769,0.21428571428571427,0.0,0.0,1.0891954022988506,22.733333333333334,0.6931471805599453,57.0
