match_id,bowler,opponent,wickets,career_wicket_avg,recent_wickets,opponent_wicket_avg,next_match_wickets
335987,PP Chawla,Rajasthan Royals,0,1.0523560209424083,0.0,1.0909090909090908,2.0
335987,Pankaj Singh,Kings XI Punjab,0,0.6470588235294118,0.0,0.0,0.0
335987,S Sreesanth,Rajasthan Royals,1,0.9772727272727273,0.5,0.8333333333333334,2.0
335987,SK Trivedi,Kings XI Punjab,2,0.9733333333333334,1.0,1.1,0.0
335987,SK Warne,Kings XI Punjab,3,1.1111111111111112,1.5,1.1666666666666667,2.0
335987,SR Watson,Kings XI Punjab,0,1.019047619047619,0.5,1.1538461538461537,1.0
335987,WA Mota,Rajasthan Royals,0,0.5714285714285714,0.5,0.0,0.0
335987,YK Pathan,Kings XI Punjab,0,0.5609756097560976,0.0,0.6,2.0
335988,A Symonds,Delhi Daredevils,0,0.7666666666666667,0.0,0.8333333333333334,0.0
335988,GD McGrath,Deccan Chargers,0,1.0,0.5,1.0,1.0
335988,MF Maharoof,Deccan Chargers,2,1.65,2.0,2.0,0.0
335988,Mohammad Asif,Deccan Chargers,2,1.125,2.0,1.0,2.0
335988,PP Ojha,Delhi Daredevils,0,1.1,1.0,1.0833333333333333,0.0
335988,R Bhatia,Deccan Chargers,3,0.9010989010989011,3.0,2.1666666666666665,1.0
335988,RP Singh,Delhi Daredevils,1,1.2195121951219512,1.0,1.0,2.0
335988,SB Bangar,Delhi Daredevils,0,0.6666666666666666,0.0,0.0,2.0
335988,Shahid Afridi,Delhi Daredevils,0,0.9,0.0,0.0,3.0
335988,VY Mahesh,Deccan Chargers,1,1.2941176470588236,1.0,1.0,1.0
335988,WPUJC Vaas,Delhi Daredevils,0,1.6923076923076923,1.0,1.5,1.0
335989,A Nehra,Chennai Super Kings,2,1.375,1.5,1.625,2.0
335989,AM Nayar,Chennai Super Kings,0,0.47368421052631576,0.0,0.25,0.0
335989,DJ Bravo,Chennai Super Kings,0,1.3101265822784811,0.0,0.8333333333333334,0.0
335989,DS Kulkarni,Chennai Super Kings,1,0.9891304347826086,1.0,1.25,3.0
335989,Harbhajan Singh,Chennai Super Kings,0,1.00625,1.0,1.1428571428571428,4.0
335989,JDP Oram,Mumbai Indians,1,0.9285714285714286,0.5,1.5,3.0
335989,Joginder Sharma,Mumbai Indians,2,0.8666666666666667,1.5,1.0,2.0
335989,M Muralitharan,Mumbai Indians,2,1.0151515151515151,1.5,1.0,0.0
335989,MA Khote,Chennai Super Kings,2,1.0,2.0,2.0,0.0
335989,MS Gony,Mumbai Indians,1,0.8863636363636364,1.0,1.0,2.0
335989,P Amarnath,Mumbai Indians,1,1.1666666666666667,1.0,1.0,2.0
335989,SM Pollock,Chennai Super Kings,0,1.0,0.0,0.5,1.0
335989,VS Yeligati,Chennai Super Kings,0,0.0,0.0,0.0,0.0
335990,A Symonds,Rajasthan Royals,0,0.7666666666666667,0.0,0.25,0.0
335990,D Kalyankrishna,Rajasthan Royals,1,0.6666666666666666,1.0,1.0,0.0
335990,D Salunkhe,Deccan Chargers,0,0.2,0.3333333333333333,0.0,0.0
335990,MM Patel,Deccan Chargers,0,1.3015873015873016,0.6666666666666666,0.875,2.0
335990,PP Ojha,Rajasthan Royals,0,1.1,0.6666666666666666,0.8461538461538461,0.0
335990,Pankaj Singh,Deccan Chargers,0,0.6470588235294118,0.0,0.0,0.0
335990,RP Singh,Rajasthan Royals,2,1.2195121951219512,1.3333333333333333,1.2727272727272727,2.0
335990,SK Trivedi,Deccan Chargers,0,0.9733333333333334,0.6666666666666666,1.5555555555555556,1.0
335990,SK Warne,Deccan Chargers,2,1.1111111111111112,1.6666666666666667,1.8571428571428572,2.0
335990,SR Watson,Deccan Chargers,1,1.019047619047619,0.6666666666666666,0.5,3.0
335990,Shahid Afridi,Rajasthan Royals,3,0.9,1.5,1.5,2.0
335990,WPUJC Vaas,Rajasthan Royals,1,1.6923076923076923,1.0,1.0,2.0
335990,YK Pathan,Deccan Chargers,2,0.5609756097560976,0.6666666666666666,0.7777777777777778,0.0
335991,A Nehra,Kings XI Punjab,2,1.375,1.6666666666666667,1.1428571428571428,0.0
335991,B Lee,Mumbai Indians,2,0.7894736842105263,1.3333333333333333,0.5714285714285714,1.0
335991,DJ Bravo,Kings XI Punjab,0,1.3101265822784811,0.0,1.625,0.0
335991,DS Kulkarni,Kings XI Punjab,3,0.9891304347826086,1.6666666666666667,1.0909090909090908,0.0
335991,Harbhajan Singh,Kings XI Punjab,4,1.00625,2.0,1.0909090909090908,1.0
335991,IK Pathan,Mumbai Indians,2,0.9801980198019802,1.6666666666666667,1.2666666666666666,3.0
