match_id,batsman,runs,career_avg_runs,recent_form,venue,venue_avg_runs,opponent,opponent_avg,recent_form_5,matches_played,run_consistency,fifty_rate,next_match_runs
1304088,A Badoni,4,18.114285714285714,9.2,"Maharashtra Cricket Association Stadium, Pune",9.0,Punjab Kings,15.0,9.2,8,15.872257918411337,0.125,15.0
1304099,A Badoni,15,18.114285714285714,10.2,"Maharashtra Cricket Association Stadium, Pune",9.0,Kolkata Knight Riders,21.0,10.2,9,14.866068747318506,0.1111111111111111,8.0
1304103,A Badoni,8,18.114285714285714,10.8,"Maharashtra Cricket Association Stadium, Pune",9.0,Gujarat Titans,22.2,10.8,10,14.301903525211056,0.1,0.0
1304109,A Badoni,0,18.114285714285714,8.2,"Brabourne Stadium, Mumbai",9.5,Rajasthan Royals,5.0,8.2,11,6.429964575675705,0.09090909090909091,18.0
1359477,A Badoni,18,18.114285714285714,9.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Delhi Capitals,22.25,9.0,12,6.29285308902091,0.08333333333333333,23.0
1359480,A Badoni,23,18.114285714285714,12.8,"MA Chidambaram Stadium, Chepauk, Chennai",12.0,Chennai Super Kings,33.666666666666664,12.8,13,6.97614984548545,0.07692307692307693,30.0
1359489,A Badoni,30,18.114285714285714,15.8,"M Chinnaswamy Stadium, Bengaluru",15.0,Royal Challengers Bangalore,15.666666666666666,15.8,14,9.177266598624136,0.07142857142857142,5.0
1359495,A Badoni,5,18.114285714285714,15.2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Punjab Kings,15.0,15.2,15,9.177266598624136,0.06666666666666667,1.0
1359500,A Badoni,1,18.114285714285714,15.4,"Sawai Mansingh Stadium, Jaipur",1.0,Rajasthan Royals,5.0,15.4,16,9.930872178324632,0.0625,8.0
1359504,A Badoni,8,18.114285714285714,13.4,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Gujarat Titans,22.2,13.4,17,9.964381008817803,0.058823529411764705,43.0
1359512,A Badoni,43,18.114285714285714,17.4,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",43.0,Punjab Kings,15.0,17.4,18,13.747322971723946,0.05555555555555555,4.0
1359517,A Badoni,4,18.114285714285714,12.2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Royal Challengers Bangalore,15.666666666666666,12.2,19,14.189197769195175,0.05263157894736842,59.0
1359519,A Badoni,59,18.114285714285714,23.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Chennai Super Kings,33.666666666666664,23.0,20,19.835153978059594,0.1,21.0
1359525,A Badoni,21,18.114285714285714,27.0,"Narendra Modi Stadium, Ahmedabad",21.0,Gujarat Titans,22.2,27.0,21,18.665476152512152,0.09523809523809523,25.0
1359542,A Badoni,25,18.114285714285714,30.4,"Eden Gardens, Kolkata",27.0,Kolkata Knight Riders,21.0,30.4,22,18.663392570007797,0.09090909090909091,1.0
1370351,A Badoni,1,18.114285714285714,22.0,"MA Chidambaram Stadium, Chepauk, Chennai",12.0,Mumbai Indians,10.75,22.0,23,19.78242766812113,0.08695652173913043,1.0
1422122,A Badoni,1,18.114285714285714,21.4,"Sawai Mansingh Stadium, Jaipur",1.0,Rajasthan Royals,5.0,21.4,24,20.225396576252013,0.08333333333333333,8.0
1422129,A Badoni,8,18.114285714285714,11.2,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Punjab Kings,15.0,11.2,25,20.052431274037566,0.08,0.0
1422133,A Badoni,0,18.114285714285714,7.0,"M Chinnaswamy Stadium, Bengaluru",15.0,Royal Challengers Bengaluru,0.0,7.0,26,20.143926572984167,0.07692307692307693,20.0
1422139,A Badoni,20,18.114285714285714,6.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Gujarat Titans,22.2,6.0,27,19.90421507565113,0.07407407407407407,55.0
1426264,A Badoni,55,18.114285714285714,16.8,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Delhi Capitals,22.25,16.8,28,21.833715009386538,0.10714285714285714,29.0
1426266,A Badoni,29,18.114285714285714,22.4,"Eden Gardens, Kolkata",27.0,Kolkata Knight Riders,21.0,22.4,29,21.299191429618997,0.10344827586206896,18.0
1426282,A Badoni,18,18.114285714285714,24.4,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Rajasthan Royals,5.0,24.4,30,16.84438581051067,0.1,6.0
1426286,A Badoni,6,18.114285714285714,25.6,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Mumbai Indians,10.75,25.6,31,17.192052427405706,0.0967741935483871,15.0
1426292,A Badoni,15,18.114285714285714,24.6,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19.636363636363637,Kolkata Knight Riders,21.0,24.6,32,16.918431763415104,0.09375,55.0
1426295,A Badoni,55,18.114285714285714,24.6,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",55.0,Sunrisers Hyderabad,37.0,24.6,33,20.155230917390483,0.12121212121212122,6.0
1426302,A Badoni,6,18.114285714285714,20.0,"Arun Jaitley Stadium, Delhi",6.0,Delhi Capitals,22.25,20.0,34,19.66836150889149,0.11764705882352941,22.0
548373,A Chandila,0,2.0,2.0,"Rajiv Gandhi International Stadium, Uppal",0.0,Deccan Chargers,0.0,0.0,1,17.577621226000705,0.0,4.0
336010,A Chopra,2,8.833333333333334,8.833333333333334,Eden Gardens,5.666666666666667,Royal Challengers Bangalore,2.0,2.0,1,17.577621226000705,0.0,24.0
336014,A Chopra,24,8.833333333333334,8.833333333333334,"Rajiv Gandhi International Stadium, Uppal",24.0,Deccan Chargers,17.5,13.0,2,15.556349186104045,0.0,13.0
336017,A Chopra,13,8.833333333333334,8.833333333333334,Eden Gardens,5.666666666666667,Delhi Daredevils,13.0,13.0,3,11.0,0.0,1.0
336021,A Chopra,1,8.833333333333334,8.833333333333334,Wankhede Stadium,1.0,Mumbai Indians,1.0,10.0,4,10.801234497346433,0.0,2.0
336035,A Chopra,2,8.833333333333334,8.4,Eden Gardens,5.666666666666667,Kings XI Punjab,2.0,8.4,5,10.014988766843425,0.0,11.0
1082591,A Choudhary,6,8.333333333333334,8.333333333333334,"Rajiv Gandhi International Stadium, Uppal",6.0,Sunrisers Hyderabad,6.0,6.0,1,17.577621226000705,0.0,15.0
1082621,A Choudhary,15,8.333333333333334,8.333333333333334,M Chinnaswamy Stadium,9.5,Gujarat Lions,15.0,10.5,2,6.363961030678928,0.0,4.0
392181,A Flintoff,24,20.666666666666668,20.666666666666668,Newlands,24.0,Mumbai Indians,24.0,24.0,1,17.577621226000705,0.0,22.0
392185,A Flintoff,22,20.666666666666668,20.666666666666668,St George's Park,22.0,Royal Challengers Bangalore,22.0,23.0,2,1.4142135623730951,0.0,16.0
336006,A Kumble,3,2.3333333333333335,2.3333333333333335,M Chinnaswamy Stadium,1.6666666666666667,Kings XI Punjab,2.25,3.0,1,17.577621226000705,0.0,0.0
